Time,Sector,Concentration
20,1,0
20,2,30.833709238121884
20,3,0.5653965974432765
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
40,1,0
40,2,10.848897694894736
40,3,19.788880910514678
40,4,0
40,5,0
40,6,0.6779661016949153
40,7,0
40,8,0
40,9,0
40,10,0
40,11,0
40,12,0
40,13,0
60,1,0
60,2,0
60,3,22.615863897731064
60,4,5.952380952380952
60,5,0
60,6,0
60,7,0
60,8,0
60,9,0.6863417982155113
60,10,0
60,11,0
60,12,0
60,13,0
80,1,0
80,2,0
80,3,0
80,4,0
80,5,0
80,6,24.406779661016948
80,7,12.613875262789069
80,8,0
80,9,0
80,10,0
80,11,0
80,12,0
80,13,0
100,1,0
100,2,0
100,3,0
100,4,0
100,5,0
100,6,0
100,7,0
100,8,12.605042016806722
100,9,17.844886753603294
100,10,4.0431266846361185
100,11,0.779423226812159
100,12,2.979648997348112
100,13,0
120,1,11.194029850746269
120,2,5.138951539686981
120,3,0
120,4,0
120,5,0
120,6,0
120,7,0
120,8,0
120,9,0
120,10,0
120,11,0
120,12,0.9932163324493707
120,13,0
140,1,2.6652452025586353
140,2,25.12376308291413
140,3,3.3923795846596594
140,4,0
140,5,0
140,6,0
140,7,0
140,8,0
140,9,0
140,10,0
140,11,0
140,12,0
140,13,0
160,1,0.5330490405117271
160,2,8.564919232811635
160,3,18.09269111818485
160,4,2.1258503401360547
160,5,0.6720430107526882
160,6,0.6779661016949153
160,7,0
160,8,0
160,9,0
160,10,0
160,11,0
160,12,0
160,13,0
180,1,0.5330490405117271
180,2,0
180,3,10.177138753978978
180,4,5.952380952380952
180,5,6.720430107526882
180,6,2.0338983050847457
180,7,4.905395935529082
180,8,0.7002801120448179
180,9,0.6863417982155113
180,10,0
180,11,0
180,12,0
180,13,0
200,1,1.0660980810234542
200,2,0
200,3,0
200,4,0.42517006802721086
200,5,2.688172043010753
200,6,8.135593220338983
200,7,14.01541695865452
200,8,4.201680672268908
200,9,2.7453671928620453
200,10,1.3477088948787064
200,11,0
200,12,2.979648997348112
200,13,0
220,1,3.7313432835820897
220,2,4.5679569241662055
220,3,0
220,4,0
220,5,0
220,6,0
220,7,0.7007708479327259
220,8,7.703081232492997
220,9,8.922443376801647
220,10,4.0431266846361185
220,11,1.558846453624318
220,12,4.966081662246854
220,13,0
240,1,12.260127931769723
240,2,11.99088692593629
240,3,3.957776182102936
240,4,0
240,5,0
240,6,0
240,7,0
240,8,0
240,9,0
240,10,0.6738544474393532
240,11,0
240,12,2.979648997348112
240,13,0
260,1,1.5991471215351811
260,2,15.416854619060942
260,3,10.177138753978978
260,4,2.1258503401360547
260,5,1.3440860215053765
260,6,0
260,7,0
260,8,0
260,9,0
260,10,0
260,11,0
260,12,0
260,13,0
280,1,0.5330490405117271
280,2,1.1419892310415514
280,3,15.831104728411743
280,4,4.6768707482993195
280,5,2.0161290322580645
280,6,0.6779661016949153
280,7,4.905395935529082
280,8,1.4005602240896358
280,9,0
280,10,0
280,11,0
280,12,0
280,13,0
300,1,1.5991471215351811
300,2,0
300,3,1.130793194886553
300,4,4.251700680272109
300,5,7.39247311827957
300,6,4.067796610169491
300,7,9.110021023125439
300,8,1.4005602240896358
300,9,2.0590253946465342
300,10,2.0215633423180592
300,11,0
300,12,1.9864326648987414
300,13,0
320,1,2.1321961620469083
320,2,3.996962308645429
320,3,0
320,4,0
320,5,0.6720430107526882
320,6,0.6779661016949153
320,7,11.913104414856342
320,8,5.602240896358543
320,9,6.177076183939602
320,10,3.369272237196766
320,11,0
320,12,1.9864326648987414
320,13,0
340,1,8.528784648187633
340,2,6.851935386249307
340,3,3.3923795846596594
340,4,0
340,5,0
340,6,0
340,7,0.7007708479327259
340,8,0.7002801120448179
340,9,2.7453671928620453
340,10,6.064690026954178
340,11,0.779423226812159
340,12,3.9728653297974827
340,13,0
360,1,3.7313432835820897
