Time,Sector,Concentration
20,1,0.5330490405117271
20,2,27.40774154499723
20,3,0.5653965974432765
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
40,1,0
40,2,5.138951539686981
40,3,22.615863897731064
40,4,0
40,5,0
40,6,0
40,7,0
40,8,0.7002801120448179
40,9,0
40,10,0
40,11,0
40,12,0
40,13,0
60,1,0
60,2,0.5709946155207757
60,3,10.742535351422255
60,4,12.329931972789115
60,5,0
60,6,0
60,7,0
60,8,0
60,9,0
60,10,0
60,11,0
60,12,0.9932163324493707
60,13,0
80,1,0
80,2,0
80,3,0.5653965974432765
80,4,0
80,5,0
80,6,12.203389830508474
80,7,20.322354590049056
80,8,0.7002801120448179
80,9,0
80,10,0
80,11,0
80,12,0
80,13,0
100,1,0
100,2,0
100,3,0
100,4,0
100,5,0.6720430107526882
100,6,0
100,7,0
100,8,7.703081232492997
100,9,11.667810569663692
100,10,10.107816711590296
100,11,0
100,12,4.966081662246854
100,13,0
120,1,10.660980810234541
120,2,8.564919232811635
120,3,0
120,4,0
120,5,0
120,6,0
120,7,0.7007708479327259
120,8,0
120,9,0
120,10,0
120,11,0
120,12,0
120,13,0
140,1,0
140,2,22.839784620831026
140,3,5.088569376989489
140,4,0
140,5,0
140,6,0
140,7,0
140,8,0
140,9,0
140,10,0.6738544474393532
140,11,0
140,12,0
140,13,0
160,1,0
160,2,3.4259676931246537
160,3,18.658087715628128
160,4,3.826530612244898
160,5,0.6720430107526882
160,6,0
160,7,0
160,8,0
160,9,0
160,10,0
160,11,0
160,12,0
160,13,0
180,1,0
180,2,0
180,3,4.523172779546212
180,4,4.6768707482993195
180,5,6.048387096774193
180,6,4.745762711864407
180,7,9.110021023125439
180,8,0.7002801120448179
180,9,0
180,10,0
180,11,0
180,12,0
180,13,0
200,1,0
200,2,0
200,3,0
200,4,0
200,5,0.6720430107526882
200,6,4.745762711864407
200,7,9.110021023125439
200,8,5.602240896358543
200,9,6.177076183939602
200,10,4.0431266846361185
200,11,0
200,12,4.966081662246854
200,13,0
220,1,5.330490405117271
220,2,7.422930001770084
220,3,0
220,4,0
220,5,0
220,6,0
220,7,0
220,8,2.8011204481792715
220,9,7.549759780370625
220,10,2.6954177897574128
220,11,0
220,12,5.959297994696224
220,13,0
240,1,7.995735607675907
240,2,14.274865388019393
240,3,4.523172779546212
240,4,0
240,5,0
240,6,0
240,7,0
240,8,0
240,9,0
240,10,0
240,11,0
240,12,0.9932163324493707
240,13,0
260,1,0
260,2,10.848897694894736
260,3,11.873328546308809
260,4,3.826530612244898
260,5,0
260,6,0
260,7,0
260,8,0
260,9,0
260,10,0
260,11,0
260,12,0
260,13,0
280,1,0
280,2,0
280,3,10.742535351422255
280,4,3.401360544217687
280,5,1.3440860215053765
280,6,6.101694915254237
280,7,7.708479327259987
280,8,0
280,9,0
280,10,0
280,11,0
280,12,0
280,13,0
300,1,0
300,2,0
300,3,0
300,4,2.1258503401360547
300,5,6.720430107526882
300,6,2.7118644067796613
300,7,6.3069376313945344
300,8,0.7002801120448179
300,9,6.863417982155114
300,10,3.369272237196766
300,11,0.779423226812159
300,12,3.9728653297974827
300,13,0
320,1,4.264392324093817
320,2,6.851935386249307
320,3,0
320,4,0
320,5,0
320,6,0
320,7,6.3069376313945344
320,8,7.002801120448179
320,9,0
320,10,5.3908355795148255
320,11,0
