"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","DPi","Felipe Nasr","1","1:37.325","1:37.325","Green","Track","23.973","45.068","28.283"
"5","DPi","Loic Duval","1","1:37.876","1:37.876","Green","Track","24.374","45.135","28.160"
"60","DPi","Dane Cameron","1","1:38.517","1:38.517","Green","Track","24.804","45.375","28.252"
"01","DPi","Renger van der Zande","1","1:39.000","1:39.000","Green","Track","24.286","45.684","28.466"
"10","DPi","Filipe Albuquerque","1","1:39.432","1:39.432","Green","Track","25.073","45.720","28.337"
"48","DPi","Jimmie Johnson","1","1:40.757","1:40.757","Green","Track","25.417","46.103","28.625"
"52","LMP2","Ben Keating","1","1:42.878","1:42.878","Green","Track","25.560","46.811","29.196"
"20","LMP2","Dennis Andersen","1","1:44.869","1:44.869","Green","Track","26.196","47.486","29.725"
"8","LMP2","John Farano","1","1:45.890","1:45.890","Green","Track","26.411","47.735","29.960"
"29","LMP2","Frits Van Eerd","1","1:46.287","1:46.287","Green","Track","26.435","47.976","29.765"
"51","LMP2","Salih Yoluc","1","1:46.608","1:46.608","Green","Track","26.202","47.741","29.777"
"47","LMP2","Roberto Lacorte","1","1:47.585","1:47.585","Green","Track","27.041","48.108","29.732"
"81","LMP2","Rob Hodes","1","1:48.836","1:48.836","Green","Track","27.375","48.279","31.033"
"11","LMP2","Steven Thomas","1","1:49.823","1:49.823","Green","Track","26.666","48.678","31.208"
"18","LMP2","Dwight Merriman","1","1:50.146","1:50.146","Green","Track","27.317","48.365","31.417"
"82","LMP2","Eric Lux","1","1:50.165","1:50.165","Green","Track","27.091","48.679","30.995"
"6","LMP3","Moritz Kranz","1","1:52.087","1:52.087","Green","Track","26.693","49.761","31.423"
"7","LMP3","Ryan Norman","1","1:52.791","1:52.791","Green","Track","27.224","50.022","31.583"
"38","LMP3","Rasmus Lindh","1","1:53.298","1:53.298","Green","Track","27.084","49.392","31.461"
"74","LMP3","Gar Robinson","1","1:55.172","1:55.172","Green","Track","28.108","49.575","31.887"
"54","LMP3","Jonathan Bennett","1","1:55.808","1:55.808","Green","Track","27.916","50.704","32.360"
"91","LMP3","Jim Cox","1","1:57.443","1:57.443","Green","Track","29.091","50.892","31.953"
"33","LMP3","Lance Willsey","1","1:57.490","1:57.490","Green","Track","28.859","51.585","32.206"
"4","GTLM","Tommy Milner","1","2:17.332","2:17.332","Green","Track","26.033","48.756","30.999"
"3","GTLM","Antonio Garcia","1","2:18.108","2:18.108","Green","Track","26.791","48.750","30.754"
"25","GTLM","Bruno Spengler","1","2:18.764","2:18.764","Green","Track","26.339","49.188","31.360"
"24","GTLM","John Edwards","1","2:19.999","2:19.999","Green","Track","26.502","48.576","31.109"
"62","GTLM","Alessandro Pier Guidi","1","2:20.568","2:20.568","Green","Track","26.754","49.069","31.121"
"96","GTD","Robby Foley","1","2:21.034","2:21.034","Green","Track","26.871","50.049","31.864"
"12","GTD","Frankie Montecalvo","1","2:21.692","2:21.692","Green","Track","26.245","50.059","32.232"
"111","GTD","Rolf Ineichen","1","2:23.175","2:23.175","Green","Track","27.057","51.099","31.963"
"9","GTD","Zacharie Robichon","1","2:23.808","2:23.808","Green","Track","27.108","50.534","32.295"
"14","GTD","Aaron Telitz","1","2:23.931","2:23.931","Green","Track","27.016","50.563","31.964"
"55","DPi","Oliver Jarvis","1","2:24.226","2:24.226","Green","Track","28.422","48.905","29.647"
"16","GTD","Jan Heylen","1","2:24.420","2:24.420","Green","Track","27.151","50.266","32.318"
"19","GTD","Misha Goikhberg","1","2:26.740","2:26.740","Green","Track","27.275","51.387","33.040"
"57","GTD","Russell Ward","1","2:26.882","2:26.882","Green","Track","28.273","51.011","33.000"
"23","GTD","Ian James","1","2:27.735","2:27.735","Green","Track","28.403","51.658","32.869"
"88","GTD","Rob Ferriol","1","2:28.043","2:28.043","Green","Track","28.386","51.551","32.780"
"97","GTD","Maxwell Root","1","2:28.243","2:28.243","Green","Track","28.712","51.878","32.423"
"21","GTD","Matteo Cressoni","1","2:28.348","2:28.348","Green","Track","28.591","51.334","32.363"
"28","GTD","Daniel Morad","1","2:28.552","2:28.552","Green","Track","28.370","51.310","33.071"
"44","GTD","John Potter","1","2:29.281","2:29.281","Green","Track","29.070","51.928","32.907"
"75","GTD","Kenny Habul","1","2:29.395","2:29.395","Green","Track","29.047","52.085","32.454"
"1","GTD","Madison Snow","1","2:29.960","2:29.960","Green","Track","29.134","51.870","32.550"
"63","GTD","Bret Curtis","1","2:30.608","2:30.608","Green","Track","28.956","52.397","32.959"
"79","GTLM","Kevin Estre","1","2:31.564","2:31.564","Green","Track","26.074","49.800","31.130"
"42","GTD","Don Yount","1","2:34.986","2:34.986","Green","Track","30.438","53.613","33.420"
"64","GTD","Ted Giovanis","1","2:36.575","2:36.575","Green","Track","30.112","54.895","34.292"
"31","DPi","Felipe Nasr","2","1:35.805","3:13.130","Green","Track","22.882","44.984","27.939"
"5","DPi","Loic Duval","2","1:35.816","3:13.692","Green","Track","22.982","45.045","27.789"
"60","DPi","Dane Cameron","2","1:36.117","3:14.634","Green","Track","23.223","44.959","27.935"
"01","DPi","Renger van der Zande","2","1:36.105","3:15.105","Green","Track","23.133","44.932","28.040"
"10","DPi","Filipe Albuquerque","2","1:36.108","3:15.540","Green","Track","23.417","44.920","27.771"
"48","DPi","Jimmie Johnson","2","1:36.699","3:17.456","Green","Track","23.512","44.980","28.207"
"52","LMP2","Ben Keating","2","1:38.941","3:21.819","Green","Track","23.976","45.970","28.995"
"20","LMP2","Dennis Andersen","2","1:39.843","3:24.712","Green","Track","24.078","46.408","29.357"
"8","LMP2","John Farano","2","1:41.522","3:27.412","Green","Track","24.761","47.095","29.666"
"51","LMP2","Salih Yoluc","2","1:41.566","3:28.174","Green","Track","25.078","47.008","29.480"
"29","LMP2","Frits Van Eerd","2","1:41.933","3:28.220","Green","Track","24.763","46.875","30.295"
