TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1517082064;1/27/2018 7:41:04 PM;71.90006;78.00008;62;30.269238403;2.6;120;
1517082124;1/27/2018 7:42:04 PM;71.99996;78.00008;62;30.269238403;2.6;190;
1517082184;1/27/2018 7:43:04 PM;72.10004;32;62;30.268057199;3.2;27;
1517082244;1/27/2018 7:44:04 PM;72.19994;32;62;30.267171296;5.2;78;
1517082304;1/27/2018 7:45:04 PM;72.19994;32;62;30.265990092;2.6;75;
1517082364;1/27/2018 7:46:04 PM;72.30002;32;62;30.265990092;1.9;121;
1517082424;1/27/2018 7:47:04 PM;72.39992;32;62;30.265990092;5.2;66;
1517082485;1/27/2018 7:48:05 PM;72.39992;32;61;30.267171296;7.9;81;
1517082545;1/27/2018 7:49:05 PM;72.30002;80.00006;61;30.265990092;9.8;92;
1517082605;1/27/2018 7:50:05 PM;72.10004;80.00006;61;30.265104189;8.5;84;
1517082665;1/27/2018 7:51:05 PM;72.10004;80.00006;62;30.265104189;4.6;90;
1517082725;1/27/2018 7:52:05 PM;72.10004;80.00006;62;30.264218286;5.2;69;
1517082785;1/27/2018 7:53:05 PM;72.10004;80.00006;62;30.263037082;5.2;77;
1517082845;1/27/2018 7:54:05 PM;72.19994;80.00006;62;30.262151179;3.2;63;
1517082905;1/27/2018 7:55:05 PM;72.30002;80.00006;62;30.261265276;4.6;92;
1517082965;1/27/2018 7:56:05 PM;72.39992;80.00006;62;30.259198169;5.9;89;
1517083025;1/27/2018 7:57:05 PM;72.30002;80.00006;61;30.259198169;4.6;76;
1517083085;1/27/2018 7:58:05 PM;72.19994;80.00006;61;30.259198169;6.5;50;
1517083146;1/27/2018 7:59:06 PM;72.19994;80.00006;61;30.257131062;7.2;85;
1517083206;1/27/2018 8:00:06 PM;72.30002;80.00006;61;30.258016965;2.6;126;
1517083266;1/27/2018 8:01:06 PM;72.19994;80.00006;61;30.260084072;5.2;82;
1517083326;1/27/2018 8:02:06 PM;72.10004;80.00006;62;30.258016965;7.2;84;
1517083386;1/27/2018 8:03:06 PM;71.79998;80.00006;62;30.257131062;6.5;85;
1517083446;1/27/2018 8:04:06 PM;71.6;80.00006;62;30.257131062;6.5;78;
1517083506;1/27/2018 8:05:06 PM;71.29994;32;64;30.257131062;7.2;74;
1517083566;1/27/2018 8:06:06 PM;71.09996;32;64;30.257131062;8.5;87;
1517083626;1/27/2018 8:07:06 PM;70.89998;32;64;30.258016965;7.9;70;
1517083686;1/27/2018 8:08:06 PM;70.7;32;64;30.257131062;3.2;86;
1517083746;1/27/2018 8:09:06 PM;70.7;32;64;30.257131062;4.6;79;
1517083807;1/27/2018 8:10:07 PM;70.80008;78.00008;64;30.258016965;1.9;112;
1517083867;1/27/2018 8:11:07 PM;70.80008;78.00008;65;30.259198169;1.3;265;
1517083927;1/27/2018 8:12:07 PM;70.89998;78.00008;65;30.258016965;3.9;98;
1517083987;1/27/2018 8:13:07 PM;70.89998;77;64;30.256245159;0.6;261;
1517084047;1/27/2018 8:14:07 PM;70.80008;77;64;30.257131062;3.2;144;
1517084107;1/27/2018 8:15:07 PM;70.89998;77;64;30.256245159;4.6;100;
1517084167;1/27/2018 8:16:07 PM;71.00006;77;64;30.258016965;1.9;55;
1517084227;1/27/2018 8:17:07 PM;71.09996;77;64;30.256245159;1.3;128;
1517084287;1/27/2018 8:18:07 PM;71.20004;77;64;30.257131062;3.2;79;
1517084347;1/27/2018 8:19:07 PM;71.20004;77;63;30.256245159;7.9;87;
1517084408;1/27/2018 8:20:08 PM;71.09996;75.99992;63;30.255063955;5.9;71;
