TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1579977697;25-Jan-20 18:41:37;68.39996;87.00008;38;30.047172051;1.9;355;-1;
1579977757;25-Jan-20 18:42:37;68.30006;87.99998;38;30.049239158;1.9;16;-1;
1579977817;25-Jan-20 18:43:37;68.30006;89.00006;38;30.045990847;1.3;221;-1;
1579977877;25-Jan-20 18:44:37;68.30006;89.99996;38;30.045990847;1.9;103;-1;
1579977937;25-Jan-20 18:45:37;68.39996;91.00004;37;30.048057954;2.6;207;-1;
1579977997;25-Jan-20 18:46:37;68.39996;91.00004;37;30.047172051;0.6;84;-1;
1579978057;25-Jan-20 18:47:37;68.39996;91.00004;37;30.045104944;1.3;300;-1;
1579978118;25-Jan-20 18:48:38;68.39996;91.99994;37;30.045104944;0;328;-1;
1579978178;25-Jan-20 18:49:38;68.50004;93.00002;37;30.045104944;0.6;122;-1;
1579978238;25-Jan-20 18:50:38;68.39996;93.00002;37;30.043037837;3.2;85;-1;
1579978298;25-Jan-20 18:51:38;68.50004;93.00002;37;30.044219041;4.6;119;-1;
1579978358;25-Jan-20 18:52:38;68.39996;91.99994;37;30.041266031;1.3;121;-1;
1579978418;25-Jan-20 18:53:38;68.39996;93.00002;37;30.043037837;3.2;125;-1;
1579978478;25-Jan-20 18:54:38;68.50004;93.00002;37;30.042151934;4.6;109;-1;
1579978538;25-Jan-20 18:55:38;68.30006;91.99994;37;30.042151934;0.6;155;-1;
1579978598;25-Jan-20 18:56:38;68.19998;91.99994;37;30.042151934;1.9;76;-1;
1579978658;25-Jan-20 18:57:38;68.10008;93.00002;37;30.040084827;0.6;95;-1;
1579978718;25-Jan-20 18:58:38;68.10008;93.99992;38;30.040084827;1.3;105;-1;
1579978779;25-Jan-20 18:59:39;68.10008;95;38;30.041266031;3.2;147;-1;
1579978839;25-Jan-20 19:00:39;68.19998;96.00008;38;30.040084827;1.9;305;-1;
1579978899;25-Jan-20 19:01:39;68.10008;95;38;30.03801772;2.6;360;-1;
1579978959;25-Jan-20 19:02:39;68;95;38;30.034178807;1.3;111;-1;
1579979019;25-Jan-20 19:03:39;68;96.00008;38;30.036245914;1.9;5;-1;
1579979079;25-Jan-20 19:04:39;68;96.00008;38;30.036245914;1.9;76;-1;
1579979139;25-Jan-20 19:05:39;68.10008;96.00008;38;30.037131817;2.6;33;-1;
1579979199;25-Jan-20 19:06:39;68;95;38;30.036245914;0.6;325;-1;
1579979259;25-Jan-20 19:07:39;68;96.00008;38;30.034178807;0;325;-1;
1579979319;25-Jan-20 19:08:39;68;98.00006;38;30.034178807;1.9;150;-1;
1579979379;25-Jan-20 19:09:39;68.10008;98.00006;38;30.03506471;0.6;144;-1;
1579979440;25-Jan-20 19:10:40;68.30006;98.00006;38;30.0321117;3.2;34;-1;
1579979500;25-Jan-20 19:11:40;68.30006;98.00006;38;30.02915869;0.6;340;-1;
1579979560;25-Jan-20 19:12:40;68.30006;96.99998;38;30.0321117;2.6;34;-1;
1579979620;25-Jan-20 19:13:40;68.30006;96.00008;37;30.031225797;5.2;81;-1;
1579979680;25-Jan-20 19:14:40;68.10008;93.99992;37;30.02915869;1.9;95;-1;
1579979740;25-Jan-20 19:15:40;68;95;38;30.027977486;1.9;339;-1;
1579979800;25-Jan-20 19:16:40;67.89992;96.00008;38;30.02915869;1.3;304;-1;
1579979860;25-Jan-20 19:17:40;67.89992;96.00008;38;30.027977486;1.9;51;-1;
1579979920;25-Jan-20 19:18:40;67.89992;96.00008;38;30.02620568;1.9;98;-1;
1579979980;25-Jan-20 19:19:40;67.89992;96.00008;38;30.025024476;1.3;114;-1;
1579980040;25-Jan-20 19:20:40;68;96.99998;38;30.02620568;2.6;71;-1;
1579980101;25-Jan-20 19:21:41;67.89992;96.00008;37;30.024138573;2.6;43;-1;
1579980161;25-Jan-20 19:22:41;67.89992;96.00008;38;30.02325267;4.6;17;-1;
1579980221;25-Jan-20 19:23:41;67.80002;96.00008;37;30.02325267;2.6;124;-1;
1579980281;25-Jan-20 19:24:41;67.80002;96.00008;38;30.02325267;3.2;202;-1;
1579980341;25-Jan-20 19:25:41;67.80002;96.00008;37;30.024138573;0.6;236;-1;
1579980401;25-Jan-20 19:26:41;67.80002;96.99998;37;30.021185563;1.9;5;-1;
1579980461;25-Jan-20 19:27:41;67.80002;98.00006;37;30.019118456;1.3;137;-1;
1579980521;25-Jan-20 19:28:41;67.89992;98.00006;37;30.019118456;7.2;107;-1;
1579980581;25-Jan-20 19:29:41;67.80002;96.99998;36;30.017051349;4.6;103;-1;
1579980641;25-Jan-20 19:30:41;67.80002;96.00008;36;30.020004359;5.9;140;-1;
1579980701;25-Jan-20 19:31:41;67.80002;96.00008;37;30.019118456;1.9;194;-1;
1579980762;25-Jan-20 19:32:42;67.60004;96.00008;37;30.019118456;1.3;174;-1;
1579980822;25-Jan-20 19:33:42;67.69994;96.99998;37;30.018232553;0.6;124;-1;
1579980882;25-Jan-20 19:34:42;67.80002;96.99998;37;30.017051349;1.9;133;-1;
